单词,美音,definition,简明释义,精选短语
accomplish,/ əˈkɑːmplɪʃ /,to succeed in doing; complete successfully,v. 完成，实现,accomplish nothing: 一事无成；一无所成
weakness,/ ˈwiːknəs /,quality of not being powerful or strong,n. 虚弱，软弱；缺点，不足,structural weakness: 组织弱化
announcement,/ əˈnaʊnsmənt /,act of informing people about something publicly,n. 公告；（报纸上的）布告,official announcement: 正式通知；官方消息 | results announcement: [财经]业绩公布
salt,/ sɔːlt /,natural white substance used to flavor or preserve food,n. 盐，食盐（=common salt）；（化学）盐 v. 给（食物）加盐调味；用盐腌制（食物）（=salt down） adj. 含盐的，咸的；用盐腌制的 abbr. （美俄）限制战略武器谈判（Strategic Arms Limitation Talks） 其他 【名】 （Salt）（美、爱尔兰、马耳他）索尔特（姓氏）,salt lake: 盐湖，盐水湖 | in salt: 撒了盐的；盐腌的 | salt water: 咸水
glance,/ ɡlæns /,to look at someone or something quickly,v. 一瞥，看一眼；浏览 n. 一瞥，很快的一看；（光的）闪烁，闪耀 其他 【名】 （Glance） （美、俄、澳）格兰斯（人名）,at a glance: 一瞥；看一眼 | glance at: 看一下，浏览；提到，影射 | at first glance: 乍一看，初看；第一眼就……
opera,/ ˈɑːprə /,play with music in which all the words are sung,n. 歌剧演出，歌剧表演；歌剧团，歌剧院 其他 【名】 （Opera）（意）奥佩拉（人名）,opera house: n. 歌剧院 | beijing opera: n. 京剧 | peking opera: 中国京剧
contest,/ ˈkɑːntest /,an event in which people try to win,n. 比赛，竞赛；争夺，竞争 v. 争辩，提出异议；争取赢得，角逐,speech contest: 演讲比赛 | contest for: 和...对抗（后接物） | beauty contest: 选美比赛
brush,/ brʌʃ /,thing used to comb your hair or to clean the floor,n. 刷子，画笔；灌木丛 v. 刷，拂拭；刷掉，拂去,brush plating: [化]刷镀 | brush up: 复习；提高；擦光 | carbon brush: 碳刷
embarrass,/ ɪmˈbærəs /,to cause someone to feel uncomfortable about something,v. （使）尴尬，窘迫；使难堪，使为难,
gallery,/ ˈɡæləri /,place to look at various types of art,n. 美术馆，画廊；（大厅的）楼座，楼上旁听席 其他 【名】 （Gallery）（英）加勒里（人名）,art gallery: 美术馆；画廊 | photo gallery: 图片库 | picture gallery: 画馆；美术馆
genetic,/ dʒəˈnetɪk /,concerning the parts of a cell that determine particular characteristics,adj. 基因的，遗传学的；有共同起源的,genetic algorithm: 遗传算法 | genetic engineering: 遗传工程 | genetic material: 遗传物质；基因材料
aggressive,/ əˈɡresɪv /,behaving in a very threatening way,adj. 好斗的，挑衅的；积极进取的,aggressive behavior: 攻击行为；侵犯行为 | aggressive action: 侵蚀作用；腐蚀性 | aggressive attitude: 侵犯态度
chest,/ tʃest /,the front of your body between your neck and your waist,n. 胸部，胸膛；箱子，盒子，柜子 v. 以胸部推（球）,chest pain: 胸痛 | chest x-ray: 胸部x光片；胸腔X 光摄影 | chest wall: 胸壁
format,/ ˈfɔːrmæt /,"form, design, or arrangement of something",n. 总体安排，计划，设计；（书或杂志的）开本，版式 v. 为……编排格式；格式化,file format: [计]文件格式 | data format: 数据格式 | standard format: 标准格式；标准书型
literary,/ ˈlɪtəreri /,concerned with written works,adj. 文学的，文学上的；书面的,literary criticism: n. 文艺评论 | literary style: 文言体；文艺语体 | literary work: n. 文学作品；手笔
govern,/ ˈɡʌvərn /,to officially control and lead an area,v. 统治，管理；控制，影响 其他 【名】 （Govern）（英）戈文（人名）,
embrace,/ ɪmˈbreɪs /,to hold someone closely,v. 拥抱；欣然接受，乐意采纳 n. 拥抱；接受，信奉,warm embrace: 温暖的拥抱
praise,/ preɪz /,to express approval of something or someone,v. （尤指公开地）赞美，表扬；（用语言或音乐）赞美（上帝） n. 表扬，赞美；（对上帝的）感谢，崇拜,in praise of: 歌颂；为赞扬 | praise for: 因为...赞美 | public praise: 口碑，公众的称赞
silent,/ ˈsaɪlənt /,not speaking or making noise,adj. （人）安静的，沉默的；沉默寡言的，不爱说话的,keep silent: 保持沉默；缄默 | remain silent: 保持沉默 | silent night: 寂静的夜
pump,/ pʌmp /,to make water or any other liquid move using a machine,n. 泵，抽水机；<英>平底鞋，轻软舞鞋 v. 用泵（或泵样器官等）输送；快速上下（或内外）运动 其他 【名】 （Pump）（美、俄、印、泰、加）蓬普（人名）,heat pump: 热泵，蒸汽泵 | water pump: 抽水机，水泵 | centrifugal pump: 离心抽机，离心泵
publisher,/ ˈpʌblɪʃər /,business that produces books or magazines,n. 出版者，出版商；发行人,
celebration,/ ˌseləˈbreɪʃ(ə)n /,special event where people show the importance of something,n. 庆典，庆祝活动；庆祝，颂扬,in celebration of: 为庆祝…
golf,/ ɡɑːlf /,game played to hit a ball into a hole with a stick,n. 高尔夫球运动；（无线通讯中的）字母G的代码 v. 打高尔夫球 其他 【名】 （Golf）（西、挪）戈尔夫（人名）,golf course: n. 高尔夫球场 | golf club: 高尔夫俱乐部 | play golf: 打高尔夫球
compensation,/ ˌkɑːmpenˈseɪʃ(ə)n /,money given or received as payment for loss,n. 赔偿金，补偿金；弥补，抵消,compensation system: 补偿制度 | error compensation: 误差补偿，平差 | compensation method: 补偿法
classical,/ ˈklæsɪk(ə)l /,concerning ideas considered to be traditional,adj. 经典的，传统的；和古希腊与古罗马文化相关的,classical music: 古典乐 | classical economics: 古典经济学 | classical literature: 古典文学
weigh,/ weɪ /,"to determine the weight of, using scales",v. 称，称……的重量；重，有……重 n. （航海）（船）在航行中,weigh on: 重压于；使苦恼 | weigh up: 权衡；估量；称 | weigh in: 加入比赛；比赛前量体重；参加辩论
versus,/ ˈvɜːrsəs /,used to show that a thing or person is against another thing or person,prep. （比赛或诉讼中）以……为对手，与……竞争；与……相对，与……相比,
deficit,/ ˈdefɪsɪt /,an amount that is less than needed,n. 亏损，赤字，不足额；（体育用语）失分数,trade deficit: n. 贸易逆差；贸易赤字 | budget deficit: 预算赤字 | fiscal deficit: 财政赤字
modify,/ ˈmɑːdɪfaɪ /,to make small changes to something,v. 修改，改进；修饰，限定,
flash,/ flæʃ /,sudden bright light,v. 闪光，闪亮；（快速）出示，显示 n. 闪光；闪光灯 adj. 阔气的，爱显摆的；突然而短暂的 其他 【名】 （Flash）（美）弗拉什（人名）,in a flash: 瞬间；立刻 | flash memory: 闪速存储器 | flash point: 闪点；燃点
friendship,/ ˈfrendʃɪp /,feeling of liking someone; good relationship,n. 友谊，朋友关系；友情，友好 其他 【名】 （Friendship）（英）弗兰德希普（人名）,friendship store: 友谊商店 | friendship hotel: 友谊宾馆 | friendship group: 友谊型群体；友好群体；社交小组
profession,/ prəˈfeʃ(ə)n /,job requiring special education or skills,n. （尤指需要长期训练和正规资格的）职业；（某）职业界同行，同业,profession of: 宣称(感情、信念等)；表白 | legal profession: 法律界；法律专业 | medical profession: 医疗职业
literally,/ ˈlɪtərəli /,in a way that expresses the exact meaning of something,adv. 按照字面意义地，逐字地；真正地，确实地,
equation,/ ɪˈkweɪʒ(ə)n /,a statement showing things to be equal,n. 等式，方程（式）；等同（看待）,differential equation: 微分方程 | wave equation: 波动方程 | regression equation: 回归方程
gesture,/ ˈdʒestʃər /,a hand or body movement that expresses a particular idea or feeling,n. 手势，姿势；姿态，表示 V. 打手势，用动作示意,gesture recognition: 手势识别 | make a gesture: 做手势，表示；做一个手势
entertain,/ ˌentərˈteɪn /,to take care of guests by helping them enjoy their time,v. 使有兴趣，使快乐；心存，怀有（想法、希望、感觉等）,
fantastic,/ fænˈtæstɪk /,"very fanciful in design, construction, or appearance",adj. 极好的，非常棒的；极大的，极高的,fantastic job: 干的太好了；好样的
assign,/ əˈsaɪn /,to give someone a particular job or something to do,v. 分派，布置（工作、任务）；分配（某物）,assign work: 派活；指派工作 | assign a value: 分配一个值；赋值
inflation,/ ɪnˈfleɪʃ(ə)n /,continual rise in the prices of products,n. 通货膨胀，通胀率；充气，膨胀，增大,inflation rate: 通货膨胀率 | price inflation: 物价膨胀 | inflation pressure: 膨胀压力；充气压力；轮胎压力
historic,/ hɪˈstɔːrɪk /,belonging to the past; of what is important or famous in the past,adj. 历史上重要的；过去的，与历史（或过去）有关的,historic site: 古迹；历史遗迹；历史地段 | historic monument: 历史碑石
injure,/ ˈɪndʒər /,do physical harm or damage,v. 使受伤，弄伤；损害，伤害（名誉、自尊等）,
remote,/ rɪˈmoʊt /,far away,adj. 边远的，偏僻的；（距离或空间上）遥远的 n. 遥控装置，遥控器,remote sensing: 遥感；远距离读出 | remote control: n. 遥控；遥控装置 | remote monitoring: 远距离遥控
therapy,/ ˈθerəpi /,treatment intended to help fix your problem or medical illness,n. 治疗，疗法；心理治疗,gene therapy: n. 基因治疗 | radiation therapy: 放射治疗 | drug therapy: 药物治疗；药物疗法
orange,/ ˈɔrɪndʒ /,a color that is a mixture of red and yellow,n. 橙，柑橘；橙汁，橘汁饮料 adj. 橙红色的，橘黄色的；奥兰治党或社团的 n. （Orange）（美、法、俄、英）奥林奇（人名）,orange juice: 橘子汁 | orange peel: 橙皮；橘皮皱 | methyl orange: [化]甲基橙；甲橙
twist,/ twɪst /,to turn something in opposite directions at the same time,v. 使弯曲；（使）扭曲变形 n. 扭动，转动；弯曲处，拐弯处 其他 【名】 （Twist）（美、英、荷）特威斯特（人名）,twists and turns: 迂回曲折 | twist drill: n. 麻花钻；螺旋钻 | twist and turn: 迂回曲折
personnel,/ ˌpɜːrsəˈnel /,group of people who work for a company,n. （公司、组织或军队中的）全体人员，员工；人事部门 adj. 人员的，有关人事的,technical personnel: 技术人员 | personnel training: 人员培训 | management personnel: 管理人员；管理人才
imagination,/ ɪˌmædʒɪˈneɪʃ(ə)n /,the ability to think of new ideas or things that are not real,n. 想象力，想象；幻觉，空想，幻想物,capture the imagination of: 激发...的想象力 | just my imagination: 只是幻觉；只是我的幻想
disagree,/ ˌdɪsəˈɡriː /,to have a different opinion from someone,v. 有分歧，意见不合；不一致,disagree with: 不同意；不一致；不适合 | disagree on: 对…持有不同看法 | agree to disagree: 消除分歧，求同存异；同意各自保留不同意见
throat,/ θroʊt /,passage inside the neck used to swallow and breathe,n. 喉咙，咽喉；喉部，颈前部 v. 用喉音说,sore throat: 咽喉痛 | have a sore throat: 嗓子疼 | nozzle throat: 喷嘴喉；喷嘴喉部
insight,/ ˈɪnsaɪt /,a clear idea about how something works,n. 洞悉，了解；洞察力 其他 【名】 （Insight）（英）因赛特（人名）,insight into: 深刻理解，洞察… | gain an insight into: 看透， 识破
tackle,/ ˈtæk(ə)l /,to take action to solve a difficult problem,v. 应付，解决（难题或局面）；与……交涉 n. （足球等中的）抢断球；（橄榄球或美式足球）擒抱摔倒,fishing tackle: n. 渔具；钓鱼用具 | block and tackle: 滑车组；滑轮组 | tackle box: 工具盒；钓具盒
forever,/ fərˈevər /,for a very long or seemingly endless time,adv. 永远；完全地，永恒地 n. 极长的时间，永恒 adj. 长期的，永久的,love you forever: 永远爱你 | last forever: 永远持续 | forever and ever: 永远
exceed,/ ɪkˈsiːd /,to be greater in number than something,v. 超过，超出；超越（限制）,exceed in: 在…方面超过
expenditure,/ ɪkˈspendɪtʃər /,amount of money used during a certain time,n. 经费，支出额；（时间、金钱、精力等的）消耗，花费,revenue and expenditure: 收支 | public expenditure: 市政开支；公用事业费用 | energy expenditure: 能量消耗
joy,/ dʒɔɪ /,feeling of great happiness and pleasure,n. 欢欣，高兴；使人高兴的人（或物），乐趣 v. 感到高兴，感到欣喜,with joy: 高兴地 | tears of joy: 高兴的泪水，喜极而泣
pregnant,/ ˈpreɡnənt /,when women carry a child inside them that is not yet born,adj. 怀孕的，妊娠的；意味深长的，意义重大的,pregnant woman: 孕妇 | to be pregnant: 怀孕 | pregnant solution: 含贵重矿物溶液
reliable,/ rɪˈlaɪəb(ə)l /,"deserving of your trust, dependable",adj. 可靠的，可信赖的；真实可信的，确凿的 n. 可靠的人（或物）,reliable quality: 质量可靠 | reliable data: 可靠数据 | reliable information: 可靠的信息
gear,/ ɡɪr /,"special supplies, tools, or clothes needed for a particular activity; machinery that turns power into forward or backward movement",n. 排挡，齿轮；（用于特定目的的）装备，服装 v. 使变速，使调挡 其他 【名】 （Gear）（英）吉尔（人名）,bevel gear: 锥齿轮，锥形齿轮；伞齿轮 | gear box: 齿轮箱 | gear transmission: 齿轮传动
click,/ klɪk /,to press a button,v. （用鼠标）点击；发出咔嗒声 n. 短而尖的声音，咔哒声；点击,click here: 点击这里，点击此处；单击此处 | double click: 双击；双击鼠标 | click and drag: 单击并拖动
poet,/ ˈpoʊət /,person who writes poems,n. 诗人,poet laureate: 桂冠诗人；优秀的诗人
fortune,/ ˈfɔːrtʃən /,"chance or luck, particularly good luck",n. 时运，命运；好运，机遇 v. 给予财富；偶然发生 其他 【名】 （Fortune） （英）福琼，（法）福蒂纳（人名）,good fortune: 好财运，好运；顺景 | make a fortune: 发财，赚大钱 | a small fortune: [口，谑]一笔巨款；很多钱
ceremony,/ ˈserəmoʊni /,special social or religious event,n. 仪式，典礼；礼节，礼仪，客套,opening ceremony: 开学典礼；开幕式；开幕仪式；开幕典礼 | wedding ceremony: n. 结婚典礼 | signing ceremony: 签字仪式；签约仪式
pile,/ paɪl /,group of things one on top of another,n. 一堆，一叠；一大堆，大量 v. 堆放；堆满 其他 【名】 （Pile）（西）皮莱，（英）派尔（人名）,pile foundation: 打桩基础 | a pile of: 一堆；很多 | pile in: 塞进；挤入
pig,/ pɪɡ /,farm animal that gives bacon and ham,n. 猪；<非正式>令人讨厌的人，猪猡 v. <非正式>狼吞虎咽；<非正式>像猪一样挤在一起,in pig: (母猪)怀小猪的；[俚语]怀孕的 | pig iron: 生铁 | guinea pig: 豚鼠；[动]天竺鼠
mixture,/ ˈmɪkstʃər /,something made by combining two or more things,n. 混合体，结合体；混合物，混合料,mixture ratio: 混合比例 | gas mixture: 气体混合物；毒气混合物 | reaction mixture: n. 反应混合物；反应混合液
automatically,/ ˌɔːtəˈmætɪkli /,in a way not requiring control by a person,adv. 自然地，必然地；不假思索地，无意识地,
scholar,/ ˈskɑːlər /,a person who studies and knows a lot about a particular subject,n. 学者；有学问的人,visiting scholar: 访问学者 | research scholar: 研究学者；研究员
psychological,/ ˌsaɪkəˈlɑːdʒɪk(ə)l /,having to do with the mind,adj. 心理的，精神的；心理学的，关于心理学的,psychological quality: 心理素质 | psychological characteristics: 心理特点 | psychological counseling: 心理咨询；心理辅导
dramatically,/ drəˈmætɪkli /,in a sudden or extreme manner,adv. 剧烈地，明显地；戏剧性地，夸张地,
stake,/ steɪk /,a strong stick with a pointed end that you push into the ground,n. 股本，股份；桩，标桩，篱笆桩 v. 拿…...冒险，以…...打赌；用桩支撑 其他 【名】 （Stake）（瑞典）斯塔克（人名）,at stake: 危如累卵；处于危险中；在紧要关头 | stake someone to something: 为某人取得某物而提供金钱(或援助)，资助某人取得某物 | equity stake: 股权
creature,/ ˈkriːtʃər /,animal of any type,n. 生物，动物；（具有某种特征的）人,living creature: 生物；生命单位 | fellow creature: 同类动物；人类 | creature comfort: n. 物质享受（尤指食物）
partnership,/ ˈpɑːrtnərʃɪp /,working with others for some purpose,n. 合伙（关系），合股；合伙企业,strategic partnership: [政治]战略伙伴关系 | in partnership with: 和…合伙(或合作) | limited partnership: 有限责任合伙公司；普通合股公司
participation,/ pɑːrˌtɪsɪˈpeɪʃ(ə)n /,act of being involved in something,n. 参加，参与,participation in: 对…的参与；对…的参加 | active participation: 主动参与；积极参加 | community participation: 社区参与
clause,/ klɔːz /,"a separate part of a contract, a will, or another legal document",n. 从句，分句；（法律文件的）条款 其他 【名】 （Clause）（法）克洛斯（人名）,arbitration clause: 仲裁条款；公断条款 | attributive clause: 定语从句 | relative clause: n. 关系从句
penalty,/ ˈpenəlti /,punishment for committing a crime or offense,n. （因违反法律、规定或合同而受到的）处罚，刑罚；（行为、环境带来的）不利后果，苦难,death penalty: 死刑 | penalty function: 罚函数；[数]补偿函数 | penalty for: 罚金；对…的处罚
chamber,/ ˈtʃeɪmbər /,a room or space inside something used for a special purpose,n. 房间，室；会议厅，会所 v. 把子弹送入弹膛；把……关在房间里 adj. 室内的；私人的，秘密的 其他 【名】 （Chamber）（英）钱伯（人名）,chamber of commerce: 商会 | combustion chamber: [机]燃烧室 | red chamber: （加拿大议会）参议院
fancy,/ ˈfænsi /,"not plain or ordinary, expensive",v. <英，非正式> 喜欢，想要；<英，非正式> 爱恋，爱慕 n. 喜欢，想要；想象，想象力，想象的事物 adj. 时髦的，奢华的；华丽的，花哨的 其他 【名】 （Fancy）范茜（人名）,take a fancy to: 喜欢；爱上 | fancy yarn: 花式纱 | fancy dress: n. 化装舞会所穿着的服装
poetry,/ ˈpoʊətri /,poetic writing; imaginative verses,n. 诗歌；诗一般的美丽，诗的意境,poetry creation: 诗歌文本 | lyric poetry: 抒情诗 | epic poetry: 史诗
chat,/ tʃæt /,to talk in a friendly and relaxed manner,v. 闲聊，聊天 n. 闲聊，聊天；鸣禽 其他 【名】 （Chat）（英、美、泰）沙（人名）,chat with: 同…聊天，和…聊天 | chat room: 聊天室 | have a chat: 聊天；谈天；闲谈
clothing,/ ˈkloʊðɪŋ /,things you wear on your body,n. 衣服，（尤指某种）服装 v. 给……穿衣，为……提供衣服，赋予（某人某品质）（clothe 的现在分词）,clothing industry: 服装工业；制衣业；缝纫业 | protective clothing: 防护衣；防护罩，安全罩 | clothing store: 服装店；成衣店
evolve,/ ɪˈvɑːlv /,to slowly change or develop into something better,v. 进化，演化；逐步发展，逐渐演变,evolve into: vt. 发展成，进化成 | evolve from: v. 由…进化
sake,/ seɪk /,interest or benefit of someone or something,n. 利益，好处；目的 其他 【名】 （Sake）（罗）萨克，（日）酒（姓）（人名）,for the sake: 为了…；为了...的利益 | for the sake of: 为了；为了…的利益 | for god's sake: 看在上帝面上
shelf,/ ʃelf /,flat board attached to a wall on which to store things,n. 搁板，架子；（尤指水中）陆架，底岩 v. <非正式>告发（某人）,on the shelf: 在书架上；束之高阁；被搁置的；闲置的 | shelf life: n. 保存限期；贮藏寿命；闲置时间；适用期 | off the shelf: 现成的，不用定制的
boost,/ buːst /,to help increasing progress or growth,v. 使增长，推动；<美，非正式>偷窃 n. 推动，促进；广告，宣扬 其他 【名】 （Boost）（英）布斯特，（德）博斯特（人名）,boost up: 向上推 | boost pressure: 升压；吸入管压力
tail,/ teɪl /,back end of an animal's body that sticks out,n. （动物的）尾巴；（一些蝴蝶的）狭翅须 v. 跟踪，盯梢；（飞行物体）曲线移动,tail gas: 尾气；废气 | tail end: 末端；结束 | the long tail: 长尾理论；长尾巴
possession,/ pəˈzeʃn /,having or owning something,n. <正式> 拥有，持有；个人财产，所有物,in possession of something: 拥有(或占有)某物 | in possession: 占有，持有 | in possession of: 拥有，占有
abortion,/ əˈbɔːrʃ(ə)n /,a medical operation to end the time when a female is going to have a baby,n. 流产，堕胎；失败,induced abortion: n. [医]人工流产 | spontaneous abortion: 自然流产；自发性流产 | threatened abortion: 先兆流产
curious,/ ˈkjʊriəs /,wanting to know more about something,adj. 好奇的，求知欲强的；稀奇的，不寻常的,curious about: 好奇；想知道
wooden,/ ˈwʊd(ə)n /,made of wood,adj. 木制的；（行为）僵硬的，呆板的,wooden furniture: 木制家具；木家具 | wooden box: 木箱；木盒子 | wooden floor: 木质地板
boom,/ buːm /,to make a deep hollow resonant sound,n. 繁荣；流行，风靡 v. 迅速发展，繁荣；轰鸣，轰响 其他 【名】 （Boom）（英、美、荷、俄、比、德）博姆（人名）,economic boom: 经济繁荣，经济腾飞 | baby boom: 婴儿潮；生育高峰 | business boom: 商业繁荣，生意兴隆
tale,/ teɪl /,story about colorful and imaginary events,n. 故事，传说；（对真人真事精彩的或夸张的）描述，讲述,fairy tale: 神话故事，童话；谎言 | folk tale: 民间故事 | tell the tale: 编讲悲惨的往事
democratic,/ ˌdeməˈkrætɪk /,of democracy; entitling the people to power,adj. 平等的，有民主精神的；民主政体的,democratic party: （美）民主党 | democratic centralism: 民主集中制 | democratic revolution: 民主革命
maintenance,/ ˈmeɪntənəns /,keeping (a machine) working by checking and fixing it,n. 维护，保养；保持，维持,operation and maintenance: 使用和维护 | equipment maintenance: 设备维修；设备保养 | maintenance cost: 维护费用
consequently,/ ˈkɑːnsɪkwentli /,therefore; as a result of something,adv. 因此，结果,
pot,/ pɑːt /,"deep, round container that is used for cooking",n. 锅；（盛食品的）罐，瓶 v. 把（植物）栽入盆中；将（食物）用密封罐煮（或储存） 其他 【名】 （Pot）（柬）布特，（捷）波特，（法）波（人名）,hot pot: 火锅；干锅，干煸类 | pots and pans: 坛坛罐罐；炊事用具 | pot of gold: 一罐金子；装金子的罐子；最终宝藏
cow,/ kaʊ /,large farm animal from which we get milk and beef,n. 母牛，奶牛；雌性动物 v. 恐吓，威胁,milk cow: 奶牛；乳牛 | dairy cow: n. 奶牛；乳牛 | cash cow: 摇钱树；巨大财源
strengthen,/ ˈstreŋ(k)θ(ə)n /,to make something stronger,v. 使（情感、决心等）更强烈，使（关系）更加紧密；巩固（地位），加强（实力）,strengthen environmental protection: 加强环境保护 | strengthen the awareness: 提高意识；强化意识 | strengthen unity: 加强团结
whilst,/ waɪlst /,during the time that; at the same time,conj. <英，正式>当……的时候；与…同时,
constraint,/ kənˈstreɪnt /,something that limits or prevents someone or something from moving,n. 限制，束缚；克制，拘束,constraint condition: 约束条件 | constraint equation: 约束方程式 | budget constraint: 预算约束；预算限制
fold,/ foʊld /,to move one part of something so that it lies on top of another part,v. 折叠，对摺；倒闭，垮掉 n. 褶，褶皱；折叠,fold up: 倒闭；撒手；垮台；放弃 | fold belt: 褶皱带 | fold increase: 成倍增加
bin,/ bɪn /,a container for storing things,n. 垃圾桶；储物箱 v. 把……扔进垃圾箱；摒弃，拒绝 其他 【名】 （Bin）（美、意）本（人名）,osama bin laden: 奥萨马·本·拉登 | recycle bin: 回收站；资源回收筒 | rubbish bin: 垃圾筒，垃圾桶
undergo,/ ˌʌndərˈɡoʊ /,"to experience something, often bad",v. 经历，经受,
potentially,/ pəˈtenʃəli /,that could happen or become reality,adv. 可能地，潜在地,
scope,/ skoʊp /,range of things that something includes,n. 范围，领域；（发挥能力的）机会，施展余地 v. 评估，调查（scope sth. out）；确定（规划项目）的范围,within the scope of: 在…范围内 | business scope: 营业范围 | scope of application: 适用范围
pretend,/ prɪˈtend /,to act as if something is true when it is not,v. 伪装，假装；（玩游戏时）假扮，装扮 adj. <非正式>假装的，假想的（尤为儿童使用）,
diversity,/ daɪˈvɜːrsəti; dɪˈvɜːsɪti /,state or quality of having a range of different things,n. 多样性，多样化；不同，差异,species diversity: 物种多样性；歧异度 | biological diversity: 生物多样性；生物差异 | diversity index: 多样性指数；歧异度指数
allege,/ əˈledʒ /,to state without proof,v. (未经证实地）宣称，指控,
pride,/ praɪd /,when you respect yourself,n. 自豪（感）；自尊（心） v. 以……自豪（pride oneself on/upon） 其他 【名】 （Pride）（英）普赖德（人名）,pride in: 以…为傲 | the pride of: ...的全盛期 | take pride in: v. 以…为傲
intense,/ ɪnˈtens /,"very strong, great, or extreme in degree",adj. 很大的，十分强烈的；严肃紧张的，激烈的,intense competition: 激烈的竞争 | intense emotion: 激情 | intense pain: 剧烈疼痛；剧痛
inquiry,/ ˈɪnkwəri; ɪnˈkwaɪəri /,request for information,n. 询问，疑问；调查，审查,inquiry into: 调查，查询；对…的调查；询问 | inquiry learning: 探究性学习 | inquiry system: 查询系统
resign,/ rɪˈzaɪn /,to leave a job because you want to,v. 辞（职），放弃（工作或职位）；（使）听任，（使）顺从（~ oneself to）,resign from: 辞职
craft,/ kræft /,to make by hand and with much skill,n. 工艺，手艺；船，艇，飞行器 v. 精心制作 其他 【名】 （Craft）（英、德、罗）克拉夫特（人名）,craft brother: n. 同行 | art and craft: 工艺品 | space craft: 宇宙飞船
strict,/ strɪkt /,must be obeyed,adj. 要求严格的，严厉的；（命令或规则）必须严格遵守的,strict control: 严格控制 | strict with: 对…要求严格 | strict liability: 严格责任；严格赔偿责任
concrete,/ ˈkɑːnkriːt /,"hard substance used in building made by mixing cement, sand, small stones, and water",adj. 确实的，具体的；实在的，有形的 n. 混凝土 v. 用混凝土覆盖（或做成）；<旧>（使）凝固，（使）凝结,reinforced concrete: n. 钢筋混凝土 | in the concrete: 实际上，具体的 | concrete structure: 混凝土结构；具体结构；混凝土建造物
shell,/ ʃel /,hard outer covering that protects,n. （蛋、坚果、某些种子和某些动物的）壳；（甲虫的）鞘翅 v. 剥……壳；炮轰,cylindrical shell: 柱状壳体；筒壳 | shell structure: 壳结构 | in the shell: 尚未成熟，在酝酿之中
damn,/ dæm /,to say someone should be punished for their bad behavior,int. 该死，见鬼（表示很生气或失望）；天啊（表示赞叹或惊奇） adj. 该死的（表示对某人或某物生气）；（用于加强语气）十足的，完全的 adv. 极其，非常；丝毫不 v. 严厉批评，谴责；（表愤怒或厌烦）该死，讨厌，混账 n. 一点点，丝毫；（对……）在乎,damn well: 非常地 | not worth a damn: 不值一文，毫无价值 | god damn: 该死的
distinct,/ dɪˈstɪŋkt /,clearly different in nature from something else,adj. 不同的，有区别的；清楚的，明显的,distinct from: vt. 与……不同
humor,/ ˈhjuːmər /,quality of being funny,n. 幽默，诙谐；心情 vt. 迎合，迁就；顺应,sense of humor: 幽默感，幽默 | good humor: n. 高兴；心情好 | black humor: 黑色幽默（一种病态或异乎寻常的幽默）
limitation,/ ˌlɪmɪˈteɪʃ(ə)n /,act of controlling or reducing the size of something,n. 限制，制约；起限制作用的规则（或事实、条件）,time limitation: 时间限制 | limitation of liability: 责任范围 | space limitation: 空间限制
indication,/ ˌɪndɪˈkeɪʃ(ə)n /,something that signals that something else exists or will happen,n. 指示，标示；象征，暗示，迹象,give clear indication of: 注明 | visual indication: 目测（指示）；可见指示 | fault indication: 故障显示
stability,/ stəˈbɪləti /,quality of not being easily moved or changed,n. 稳定（性），稳固（性）；坚定，恒心,thermal stability: 热稳定性，耐热性；热稳性 | stability analysis: 稳定性分析；稳度分析 | slope stability: 坡面稳定性
wise,/ waɪz /,knowledgeable about life; having good judgment,adj. （行为或决定）明智的，高明的；有学问的，精通的 v. 了解，知道 其他 【名】 （Wise）（英）怀斯（人名）,wise choice: 明智的选择 | wise guy: 自作聪明的人 | get wise: [美国俚语]
neglect,/ nɪˈɡlekt /,to fail to take care of something,v. 疏于照顾，未予看管；不予重视，忽视 n. 忽略，忽视，未被重视,neglect of: 疏忽 | neglect of duty: 玩忽职守；[法]失职；过失责任
compose,/ kəmˈpoʊz /,to come together to form or make something,v. 组成，构成；作曲,compose oneself: 镇静 | compose of: 由…组成
jail,/ dʒeɪl /,place to hold criminals being punished for a crime,n. 监狱；监禁 v. 监禁 其他 【名】 （Jail） （英）杰尔（人名）,in jail: 在监狱；在狱中服刑；被封锁了 | go to jail: 入狱
shelter,/ ˈʃeltər /,a place to live or stay that protects someone from weather,n. 居所，住处；（尤指用以躲避风雨或攻击的）遮蔽物，庇护处 v. 提供庇护，提供保护；躲避，避难 其他 【名】 （Shelter）（英）谢尔特（人名）,shelter oneself: ◎为自己辩解；给自己找借口 | shelter from: 保护某人不受打击 | take shelter: 寻求庇护；避难
mere,/ mɪr /,small and unimportant,adj. 仅仅，只不过；只凭……就足以 n. <旧>小湖，池塘；（尤指毛利人用绿岩制的武器）石棒 其他 【名】 （Mere）（日）目连，（西）梅雷（人名）,mere trifle: 小意思 | a mere nobody: 微不足道的人
carbon,/ ˈkɑːrbən /,a chemical element (C) found in all living things,n. 碳；复写纸 adj. 碳的，碳处理的 其他 【名】 （Carbon）（英）卡本，（西）卡尔翁，（法）卡尔邦（人名）,carbon dioxide: 二氧化碳 | carbon fiber: 碳化纤维，碳素纤维 | carbon steel: [化]碳钢，碳素钢
regulate,/ ˈreɡjuleɪt /,to make rules or laws to control something or someone,v. （用规则条例）控制，管理；调节，调整,
